,week,count
263,2015-01-12/2015-01-18,597
264,2015-01-19/2015-01-25,496
265,2015-01-26/2015-02-01,707
266,2015-02-02/2015-02-08,976
267,2015-02-09/2015-02-15,723
268,2015-02-16/2015-02-22,782
269,2015-02-23/2015-03-01,1465
270,2015-03-02/2015-03-08,1267
271,2015-03-09/2015-03-15,1620
272,2015-03-16/2015-03-22,2096
273,2015-03-23/2015-03-29,1524
274,2015-03-30/2015-04-05,1142
275,2015-04-06/2015-04-12,1083
276,2015-04-13/2015-04-19,1260
277,2015-04-20/2015-04-26,1205
278,2015-04-27/2015-05-03,879
279,2015-05-04/2015-05-10,868
280,2015-05-11/2015-05-17,1366
281,2015-05-18/2015-05-24,467
282,2015-05-25/2015-05-31,920
283,2015-06-01/2015-06-07,862
284,2015-06-08/2015-06-14,448
285,2015-06-15/2015-06-21,601
286,2015-06-22/2015-06-28,757
287,2015-06-29/2015-07-05,794
288,2015-07-06/2015-07-12,461
289,2015-07-13/2015-07-19,389
290,2015-07-20/2015-07-26,388
291,2015-07-27/2015-08-02,419
292,2015-08-03/2015-08-09,637
293,2015-08-10/2015-08-16,752
294,2015-08-17/2015-08-23,519
295,2015-08-24/2015-08-30,471
296,2015-08-31/2015-09-06,427
297,2015-09-07/2015-09-13,330
298,2015-09-14/2015-09-20,387
299,2015-09-21/2015-09-27,381
300,2015-09-28/2015-10-04,451
301,2015-10-05/2015-10-11,432
302,2015-10-12/2015-10-18,319
303,2015-10-19/2015-10-25,345
304,2015-10-26/2015-11-01,480
305,2015-11-02/2015-11-08,317
306,2015-11-09/2015-11-15,340
307,2015-11-16/2015-11-22,376
308,2015-11-23/2015-11-29,308
309,2015-11-30/2015-12-06,453
310,2015-12-07/2015-12-13,484
311,2015-12-14/2015-12-20,440
312,2015-12-21/2015-12-27,445
313,2015-12-28/2016-01-03,432
314,2016-01-04/2016-01-10,714
315,2016-01-11/2016-01-17,724
316,2016-01-18/2016-01-24,500
317,2016-01-25/2016-01-31,292
318,2016-02-01/2016-02-07,731
319,2016-02-08/2016-02-14,553
320,2016-02-15/2016-02-21,576
321,2016-02-22/2016-02-28,862
322,2016-02-29/2016-03-06,1318
323,2016-03-07/2016-03-13,1412
324,2016-03-14/2016-03-20,1055
325,2016-03-21/2016-03-27,602
326,2016-03-28/2016-04-03,544
327,2016-04-04/2016-04-10,722
328,2016-04-11/2016-04-17,610
329,2016-04-18/2016-04-24,859
330,2016-04-25/2016-05-01,696
331,2016-05-02/2016-05-08,842
332,2016-05-09/2016-05-15,486
333,2016-05-16/2016-05-22,658
334,2016-05-23/2016-05-29,615
335,2016-05-30/2016-06-05,493
336,2016-06-06/2016-06-12,599
337,2016-06-13/2016-06-19,816
338,2016-06-20/2016-06-26,733
339,2016-06-27/2016-07-03,791
340,2016-07-04/2016-07-10,356
341,2016-07-11/2016-07-17,392
342,2016-07-18/2016-07-24,313
343,2016-07-25/2016-07-31,380
344,2016-08-01/2016-08-07,376
345,2016-08-08/2016-08-14,459
346,2016-08-15/2016-08-21,381
347,2016-08-22/2016-08-28,343
348,2016-08-29/2016-09-04,371
349,2016-09-05/2016-09-11,337
350,2016-09-12/2016-09-18,386
351,2016-09-19/2016-09-25,330
352,2016-09-26/2016-10-02,398
353,2016-10-03/2016-10-09,316
354,2016-10-10/2016-10-16,339
355,2016-10-17/2016-10-23,479
356,2016-10-24/2016-10-30,389
357,2016-10-31/2016-11-06,462
358,2016-11-07/2016-11-13,262
359,2016-11-14/2016-11-20,428
360,2016-11-21/2016-11-27,398
361,2016-11-28/2016-12-04,433
362,2016-12-05/2016-12-11,561
363,2016-12-12/2016-12-18,519
364,2016-12-19/2016-12-25,493
365,2016-12-26/2017-01-01,506
366,2017-01-02/2017-01-08,555
367,2017-01-09/2017-01-15,677
368,2017-01-16/2017-01-22,652
369,2017-01-23/2017-01-29,800
370,2017-01-30/2017-02-05,756
371,2017-02-06/2017-02-12,433
372,2017-02-13/2017-02-19,703
373,2017-02-20/2017-02-26,691
374,2017-02-27/2017-03-05,850
375,2017-03-06/2017-03-12,811
376,2017-03-13/2017-03-19,849
377,2017-03-20/2017-03-26,985
378,2017-03-27/2017-04-02,782
379,2017-04-03/2017-04-09,1415
380,2017-04-10/2017-04-16,418
381,2017-04-17/2017-04-23,753
382,2017-04-24/2017-04-30,1537
383,2017-05-01/2017-05-07,695
384,2017-05-08/2017-05-14,518
385,2017-05-15/2017-05-21,526
386,2017-05-22/2017-05-28,570
387,2017-05-29/2017-06-04,399
388,2017-06-05/2017-06-11,549
389,2017-06-12/2017-06-18,590
390,2017-06-19/2017-06-25,1043
391,2017-06-26/2017-07-02,1255
392,2017-07-03/2017-07-09,415
393,2017-07-10/2017-07-16,372
394,2017-07-17/2017-07-23,358
395,2017-07-24/2017-07-30,421
396,2017-07-31/2017-08-06,395
397,2017-08-07/2017-08-13,434
398,2017-08-14/2017-08-20,378
399,2017-08-21/2017-08-27,354
400,2017-08-28/2017-09-03,373
401,2017-09-04/2017-09-10,365
402,2017-09-11/2017-09-17,431
403,2017-09-18/2017-09-24,389
404,2017-09-25/2017-10-01,354
405,2017-10-02/2017-10-08,344
406,2017-10-09/2017-10-15,314
407,2017-10-16/2017-10-22,304
408,2017-10-23/2017-10-29,360
409,2017-10-30/2017-11-05,285
410,2017-11-06/2017-11-12,249
411,2017-11-13/2017-11-19,301
412,2017-11-20/2017-11-26,315
413,2017-11-27/2017-12-03,285
414,2017-12-04/2017-12-10,321
415,2017-12-11/2017-12-17,647
416,2017-12-18/2017-12-24,556
417,2017-12-25/2017-12-31,450
418,2018-01-01/2018-01-07,194
419,2018-01-08/2018-01-14,397
420,2018-01-15/2018-01-21,576
421,2018-01-22/2018-01-28,636
422,2018-01-29/2018-02-04,771
423,2018-02-05/2018-02-11,732
424,2018-02-12/2018-02-18,1298
425,2018-02-19/2018-02-25,802
426,2018-02-26/2018-03-04,1414
427,2018-03-05/2018-03-11,898
428,2018-03-12/2018-03-18,1250
429,2018-03-19/2018-03-25,1195
430,2018-03-26/2018-04-01,1105
431,2018-04-02/2018-04-08,690
432,2018-04-09/2018-04-15,527
433,2018-04-16/2018-04-22,597
434,2018-04-23/2018-04-29,640
435,2018-04-30/2018-05-06,690
436,2018-05-07/2018-05-13,459
437,2018-05-14/2018-05-20,1128
438,2018-05-21/2018-05-27,532
439,2018-05-28/2018-06-03,368
440,2018-06-04/2018-06-10,788
441,2018-06-11/2018-06-17,813
442,2018-06-18/2018-06-24,699
443,2018-06-25/2018-07-01,856
444,2018-07-02/2018-07-08,466
445,2018-07-09/2018-07-15,259
446,2018-07-16/2018-07-22,308
447,2018-07-23/2018-07-29,502
448,2018-07-30/2018-08-05,362
449,2018-08-06/2018-08-12,347
450,2018-08-13/2018-08-19,416
451,2018-08-20/2018-08-26,364
452,2018-08-27/2018-09-02,281
453,2018-09-03/2018-09-09,260
454,2018-09-10/2018-09-16,416
455,2018-09-17/2018-09-23,367
456,2018-09-24/2018-09-30,384
